# Data source: VanderSat
# Creation date: 2024-10-22
# Copyright: 2024, VanderSat B.V.
# Documentation: https://docs.vandersat.com/
# Contact information: https://vandersat.com/contact/
# Unit K
date,LST-AMSR2-DESC_V1.0_1000
2012-07-25,291.2334
2012-07-26,286.7624
2012-07-27,282.9227
2012-07-28,288.5255
2012-07-29,291.1725
2012-07-30,288.3930
2012-07-31,289.0505
2012-08-01,292.4831
2012-08-02,286.4859
2012-08-03,287.9406
2012-08-04,282.2845
2012-08-05,278.6901
2012-08-06,286.0359
2012-08-07,288.4697
2012-08-08,287.1939
2012-08-09,286.6661
2012-08-10,285.1039
2012-08-11,288.1265
2012-08-12,285.8836
2012-08-13,281.0102
2012-08-14,283.6232
2012-08-15,288.2447
2012-08-16,282.0021
2012-08-17,277.9744
2012-08-18,281.3878
2012-08-19,281.8260
2012-08-20,282.4806
2012-08-21,286.0763
2012-08-22,286.8218
2012-08-23,287.6133
2012-08-24,287.8879
2012-08-25,287.3485
2012-08-26,282.7175
2012-08-27,283.8071
2012-08-28,290.4414
2012-08-29,292.4830
2012-08-30,290.8246
2012-08-31,284.3608
2012-09-01,288.3002
2012-09-02,291.5658
2012-09-03,283.6385
2012-09-04,282.9390
2012-09-05,283.2220
2012-09-06,283.3858
2012-09-07,280.4997
2012-09-08,282.9949
2012-09-09,278.5475
2012-09-10,286.0719
2012-09-11,288.3853
2012-09-12,279.8270
2012-09-13,278.1484
2012-09-14,278.4811
2012-09-15,283.8889
2012-09-16,284.6584
2012-09-17,277.7410
2012-09-18,279.0575
2012-09-19,284.7645
2012-09-20,280.9146
2012-09-21,279.6699
2012-09-22,276.3598
2012-09-23,275.4260
2012-09-24,280.9792
2012-09-25,279.6916
2012-09-26,278.9243
2012-09-27,283.3269
2012-09-28,283.0903
2012-09-29,284.0931
2012-09-30,284.9460
2012-10-01,282.0183
2012-10-02,282.6166
2012-10-03,281.6890
2012-10-04,271.1408
2012-10-05,271.8933
2012-10-06,271.7956
2012-10-07,273.3245
2012-10-08,279.6414
2012-10-09,275.0396
2012-10-10,273.8799
2012-10-11,274.5348
2012-10-12,273.6368
2012-10-13,277.6373
2012-10-14,276.5936
2012-10-15,280.0604
2012-10-16,281.1791
2012-10-17,279.8481
2012-10-18,275.7697
2012-10-19,275.7700
2012-10-20,275.2954
2012-10-21,277.2129
2012-10-22,275.5008
2012-10-23,277.7946
2012-10-24,273.0404
