# Data source: VanderSat
# Creation date: 2024-10-22
# Copyright: 2024, VanderSat B.V.
# Documentation: https://docs.vandersat.com/
# Contact information: https://vandersat.com/contact/
# Unit m3/m3
date,SM-AMSR2-C1-DESC_V5.0_1000
2012-07-25,0.2163
2012-07-26,0.1621
2012-07-27,0.1660
2012-07-28,0.1575
2012-07-29,0.1743
2012-07-30,0.1628
2012-07-31,0.1682
2012-08-01,0.1574
2012-08-02,0.1582
2012-08-03,0.1731
2012-08-04,0.2462
2012-08-05,0.1949
2012-08-06,0.1854
2012-08-07,0.1586
2012-08-08,0.1933
2012-08-09,0.2022
2012-08-10,0.1719
2012-08-11,0.1574
2012-08-12,0.2140
2012-08-13,0.1994
2012-08-14,0.1965
2012-08-15,0.1834
2012-08-16,0.1821
2012-08-17,0.1615
2012-08-18,0.1415
2012-08-19,0.1649
2012-08-20,0.1665
2012-08-21,0.1534
2012-08-22,0.1517
2012-08-23,0.1493
2012-08-24,0.1423
2012-08-25,0.1941
2012-08-26,0.1613
2012-08-27,0.1515
2012-08-28,0.1577
2012-08-29,0.1692
2012-08-30,0.1467
2012-08-31,0.1454
2012-09-01,0.1392
2012-09-02,0.1436
2012-09-03,0.1353
2012-09-04,0.1644
2012-09-05,0.1525
2012-09-06,0.1442
2012-09-07,0.1593
2012-09-08,0.1622
2012-09-09,0.1551
2012-09-10,0.1711
2012-09-11,0.1484
2012-09-12,0.1349
2012-09-13,0.1486
2012-09-14,0.1539
2012-09-15,0.1541
2012-09-16,0.1494
2012-09-17,0.1884
2012-09-18,0.1665
2012-09-19,0.1652
2012-09-20,0.1568
2012-09-21,0.1638
2012-09-22,0.1559
2012-09-23,0.1617
2012-09-24,0.1712
2012-09-25,0.1603
2012-09-26,0.1739
2012-09-27,0.1611
2012-09-28,0.1645
2012-09-29,0.1637
2012-09-30,0.1620
2012-10-01,0.1665
2012-10-02,0.1703
2012-10-03,0.1661
2012-10-04,0.3055
2012-10-05,0.2617
2012-10-06,0.2561
2012-10-07,0.2606
2012-10-08,0.2377
2012-10-09,0.2467
2012-10-10,0.2269
2012-10-11,0.2163
2012-10-12,0.2452
2012-10-13,0.2315
2012-10-14,0.1974
2012-10-15,0.2032
