# Data source: VanderSat
# Creation date: 2024-10-22
# Copyright: 2024, VanderSat B.V.
# Documentation: https://docs.vandersat.com/
# Contact information: https://vandersat.com/contact/
# Unit 
date,VOD-AMSR2-C1-DESC_V5.0_1000
2012-07-25,0.3441
2012-07-26,0.2588
2012-07-27,0.2831
2012-07-28,0.2303
2012-07-29,0.2493
2012-07-30,0.2478
2012-07-31,0.2627
2012-08-01,0.2286
2012-08-02,0.2375
2012-08-03,0.2356
2012-08-04,0.3228
2012-08-05,0.2768
2012-08-06,0.2616
2012-08-07,0.2285
2012-08-08,0.2826
2012-08-09,0.2807
2012-08-10,0.2511
2012-08-11,0.1915
2012-08-12,0.3096
2012-08-13,0.2930
2012-08-14,0.2696
2012-08-15,0.2388
2012-08-16,0.2483
2012-08-17,0.2732
2012-08-18,0.2111
2012-08-19,0.2551
2012-08-20,0.2473
2012-08-21,0.2048
2012-08-22,0.2082
2012-08-23,0.2111
2012-08-24,0.1711
2012-08-25,0.2215
2012-08-26,0.2191
2012-08-27,0.2179
2012-08-28,0.2001
2012-08-29,0.2419
2012-08-30,0.1628
2012-08-31,0.1870
2012-09-01,0.1527
2012-09-02,0.1405
2012-09-03,0.1516
2012-09-04,0.2082
2012-09-05,0.1664
2012-09-06,0.1585
2012-09-07,0.2120
2012-09-08,0.1881
2012-09-09,0.1854
2012-09-10,0.1656
2012-09-11,0.1175
2012-09-12,0.1173
2012-09-13,0.1297
2012-09-14,0.1430
2012-09-15,0.1194
2012-09-16,0.1062
2012-09-17,0.2039
2012-09-18,0.1527
2012-09-19,0.1119
2012-09-20,0.1084
2012-09-21,0.1387
2012-09-22,0.1104
2012-09-23,0.1209
2012-09-24,0.1245
2012-09-25,0.1134
2012-09-26,0.1320
2012-09-27,0.1106
2012-09-28,0.1320
2012-09-29,0.1065
2012-09-30,0.1039
2012-10-01,0.1326
2012-10-02,0.1105
2012-10-03,0.1128
2012-10-04,0.2834
2012-10-05,0.2178
2012-10-06,0.2360
2012-10-07,0.2265
2012-10-08,0.1917
2012-10-09,0.1897
2012-10-10,0.2226
2012-10-11,0.2089
2012-10-12,0.2425
2012-10-13,0.2305
2012-10-14,0.2282
2012-10-15,0.1909
2012-10-16,0.1999
2012-10-17,0.1886
2012-10-18,0.2210
2012-10-19,0.2217
2012-10-20,0.2382
2012-10-21,0.1967
2012-10-22,0.2307
2012-10-23,0.2933
2012-10-24,0.2194
2012-10-25,0.2281
2012-10-26,0.1846
2012-10-27,0.2260
2012-10-28,0.2612
2012-10-29,0.2882
2012-10-30,0.2669
2012-10-31,0.2512
2012-11-01,0.2388
2012-11-02,0.2456
2012-11-03,0.2755
2012-11-04,0.2593
2012-11-05,0.2765
2012-11-06,0.2205
2012-11-07,0.2698
2012-11-08,0.2256
2012-11-09,0.2542
2012-11-10,0.2211
2012-11-11,0.1952
2012-11-12,0.1699
2012-11-13,0.1722
2012-11-14,0.1761
2012-11-15,0.1676
2012-11-16,0.1642
2012-11-17,0.1663
2012-11-18,0.1937
2012-11-19,0.2075
2012-11-20,0.1922
2012-11-21,0.2394
2012-11-22,0.2197
2012-11-23,0.2044
2012-11-24,0.2056
2012-11-25,0.2123
2012-11-26,0.1936
2012-11-27,0.2181
2012-11-28,0.2146
2012-11-29,0.2257
2012-11-30,0.2387
2012-12-01,0.2645
2012-12-02,0.2520
2012-12-03,0.2149
2012-12-04,0.2001
2012-12-05,0.2218
2012-12-06,0.2011
2012-12-07,0.2233
2012-12-08,0.2231
2012-12-09,0.2127
2012-12-10,0.2155
2012-12-11,0.2358
2012-12-12,0.2186
2012-12-13,0.2123
2012-12-14,0.2127
2012-12-15,0.2257
2012-12-16,0.2319
2012-12-17,0.2148
2012-12-18,0.2292
2012-12-19,0.2186
2012-12-20,0.2396
2012-12-21,0.2294
2012-12-22,0.2368
2012-12-23,0.2210
2012-12-24,0.2089
2012-12-25,0.2527
2012-12-26,0.1976
2012-12-27,0.2082
2012-12-28,0.2135
2012-12-29,0.2292
2012-12-30,0.2093
2012-12-31,0.1894
2013-01-01,0.1869
2013-01-02,0.1707
2013-01-03,0.1682
2013-01-04,0.1533
2013-01-05,0.1655
2013-01-06,0.1470
2013-01-07,0.1459
2013-01-08,0.1418
2013-01-09,0.1156
2013-01-10,0.1435
2013-01-11,0.1305
2013-01-12,0.1075
2013-01-13,0.0996
2013-01-14,0.1240
2013-01-15,0.1006
2013-01-16,0.1043
2013-01-17,0.1307
2013-01-18,0.1107
2013-01-19,0.1351
2013-01-20,0.0945
2013-01-21,0.1354
2013-01-22,0.1240
2013-01-23,0.1390
2013-01-24,0.1347
2013-01-25,0.1166
2013-01-26,0.1502
2013-01-27,0.1451
2013-01-28,0.1458
2013-01-29,0.1055
2013-01-30,0.1213
2013-01-31,0.1010
2013-02-01,0.1203
2013-02-02,0.1492
2013-02-03,0.1034
2013-02-04,0.1344
2013-02-05,0.0873
2013-02-06,0.1257
2013-02-07,0.1059
2013-02-08,0.1138
2013-02-09,0.1048
2013-02-10,0.1089
2013-02-11,0.0927
2013-02-12,0.0865
2013-02-13,0.0947
2013-02-14,0.0925
2013-02-15,0.1114
2013-02-16,0.0854
2013-02-17,0.1152
2013-02-18,0.1201
2013-02-19,0.0827
